"Distrito","Ingresos_Total","Gastos_Total","Personal_Limpieza","Residuos_Solidos","Personal_Vigilancia"
"ATICO",13444595.7,6837501.77,1,2850,0
"ATIQUIPA",3183914.89,1510996.23,0,800,0
"BELLA UNION",12074531.18,8342270.42,4,2400,3
"CAHUACHO",3262160.91,2256022.59,0,230,0
"CHALA",18399422.61,5273723,16,11330,2
"CHAPARRA",13784801.81,12134132.68,1,4000,0
"HUANUHUANU",10667214.87,3528653.87,4,2000,0
"JAQUI",2281117.61,1571118.63,0,1500,0
"LOMAS",5525783.94,2854295.07,0,3500,0
"QUICACHA",8869608.98,5334788.86,0,1200,0
"YAUCA",6019222.33,3663583.39,4,2000,0
"APLAO",34422404.04,28039405.51,0,4200,0
"ANDAGUA",9786419.48,4142410.84,0,500,0
"AYO",5444824.92,2931337.28,0,300,0
"CHACHAS",7423831.25,7101237.04,0,857,0
"CHILCAYMARCA",4885299.78,3601568.7,1,50,0
"CHOCO",5842161.25,4919263.53,0,100,0
"HUANCARQUI",2824508.01,2325416.94,0,2400,0
"MACHAGUAY",4237419.48,1155297.95,1,100,0
"ORCOPAMPA",16785009.95,9090432.1,0,4056,0
"PAMPACOLCA",6134225.13,2405310.82,0,1061,0
"TIPAN",3829689.87,1455620.99,0,40,0
"UÑON",3913246.27,3523950.91,0,71,0
"URACA",18503784.55,12193620.74,1,2508,2
"VIRACO",2534716.15,1391252.4,0,500,0
"CHIVAY",42097037.39,31728282.25,39,6046,0
"ACHOMA",4059030.87,2247843.28,0,800,0
"CABANACONDE",6856328.7,5966994.75,0,1450,0
"CALLALLI",3776471.58,2477783.46,0,550,0
"CAYLLOMA",10261797.23,9032682.88,0,2275,0
"COPORAQUE",5954262.41,2275845.55,0,474,0
"HUAMBO",3933696.72,3811757.3,1,200,0
"HUANCA",6285790.82,2981420.63,0,334,0
"ICHUPAMPA",3730198.38,3306610.16,0,850,0
"LARI",4505088.86,3556358.73,0,50,0
"LLUTA",11362280.47,3285007.13,1,402,0
"MACA",2990902.64,2073527.22,0,260,0
"MADRIGAL",4172360.41,3273344.38,1,280,0
"SAN ANTONIO DE CHUCA",3628912.73,2862543.02,1,1000,3
"SIBAYO",4678702.02,1399706.95,0,183,0
"TAPAY",8781896.15,4392654,0,200,0
"TISCO",5472937.81,3364434.59,0,5,0
"TUTI",1488056.14,1420089.91,2,250,0
"YANQUE",6902127.35,4868180.17,0,1108,0
"MAJES",129950698.44,94569562.36,88,45134,1
"CHUQUIBAMBA",51193750.17,45865382.79,4,2000,2
"ANDARAY",6796742.61,3511786.39,0,330,0
"CAYARANI",9585510.87,5532987.82,0,160,0
"CHICHAS",8883497.26,6826135.38,1,80,0
"IRAY",5541917.16,2019665.85,0,233,0
"RIO GRANDE",14953590.71,6640865.6,0,700,1
"SALAMANCA",7534215.08,4353812.14,0,98,0
"YANAQUIHUA",19349194.19,13293207.99,0,500,0
"MOLLENDO",57822326.6,42852409.81,11,27000,40
"COCACHACRA",34171562.45,15741288.02,12,13550,4
"DEAN VALDIVIA",18295839.19,10165789.23,11,2000,6
"ISLAY",33706396.45,17078305.64,31,3591,5
"MEJIA",12547672,7790417.15,18,1800,11
"PUNTA DE BOMBON",20201278.39,9726576.44,22,2200,7
"COTAHUASI",15790600.32,8967737.62,1,1666,1
"ALCA",5582627.98,3018574.96,0,2550,1
"CHARCANA",9136902.54,5918846.31,0,7,0
"HUAYNACOTAS",10935917.34,2633473.13,0,500,0
"PAMPAMARCA",4810064.33,3008975.44,0,200,0
"PUYCA",8637206.21,3683375.69,0,100,0
"QUECHUALLA",2957634.9,2723047.99,0,10,0
"SAYLA",3921816.87,928283.02,0,40,0
"TAURIA",3771966.31,3793242.5,0,57,0
"TOMEPAMPA",4283383.27,1290926.86,0,450,0
"TORO",6061344.59,2836415.67,0,35,0
"AYACUCHO",92230072.65,80349698.16,171,89811,0
"ACOCRO",27440457.06,19586721.47,1,1500,1
"ACOS VINCHOS",7379683.7,7068175.89,0,650,0
"CARMEN ALTO",21474828.22,28532542.15,14,22000,2
"CHIARA",10117459.66,9793518.33,0,5000,1
"OCROS",32753695.08,26516076.86,1,500,1
"PACAYCASA",1943795.95,1847009.36,0,2000,0
"QUINUA",15204946.88,14452523.3,8,1900,0
"SAN JOSE DE TICLLAS",12153670.17,11431664.07,0,50,0
"SAN JUAN BAUTISTA",35825106.15,28990848.86,59,39000,0
"SANTIAGO DE PISCHA",6035952.49,5875057.3,0,6,0
"SOCOS",13107348.56,14002212.92,0,136,0
"TAMBILLO",11168245.72,11107614,0,850,0
"VINCHOS",49111351.98,39963239.24,0,1000,0
"JESUS NAZARENO",12640159.9,12322237.82,29,16000,0
"ANDRÉS AVELINO CÁCERES DORREGARAY",17083010.62,15192560.86,24,21000,1
"CANGALLO",12070516.05,13804205.91,16,2800,0
"CHUSCHI",5847384.06,5913420.83,1,1000,0
"LOS MOROCHUCOS",9948056.6,9400674.2,2,700,0
"MARIA PARADO DE BELLIDO",6956760.36,7320049.76,1,200,0
"PARAS",9386309.2,12409861.24,5,215,0
"TOTOS",6297018.24,7148403.05,0,38,0
"SANCOS",23658822.87,20885933.59,4,2178,2
"CARAPO",5786458.34,6277024.41,0,400,0
"SACSAMARCA",7052787.52,5803057.93,0,390,0
"SANTIAGO DE LUCANAMARCA",9482698,8315165.62,0,600,0
"HUANTA",50980792.78,52080869.26,40,18000,10
"AYAHUANCO",7148801.96,6409415.16,0,106,1
"HUAMANGUILLA",8023950.35,7039148.12,0,220,0
"IGUAIN",3142966.71,3108922.64,0,300,0
"LURICOCHA",12896811.45,14522783.29,0,1972,0
"SANTILLANA",7876961.39,5647466.75,0,420,0
"SIVIA",14813322.81,12825323.65,2,7500,0
